rank,name,scores_overall
97,National Taiwan University (NTU),62.3
301–350,Taipei Medical University,45.6–47.9
351–400,National Tsing Hua University,43.6–45.5
401–500,"China Medical University, Taiwan",39.8–43.5
401–500,National Yang-Ming University,39.8–43.5
501–600,National Cheng Kung University (NCKU),36.4–39.7
501–600,National Chiao Tung University,36.4–39.7
501–600,National Taiwan University of Science and Technology (Taiwan Tech),36.4–39.7
601–800,National Taiwan Normal University,30.2–36.3
801–1000,"Asia University, Taiwan",25.1–30.1
801–1000,Chang Gung University,25.1–30.1
801–1000,Fu Jen Catholic University,25.1–30.1
801–1000,Kaohsiung Medical University,25.1–30.1
801–1000,National Central University,25.1–30.1
801–1000,National Chengchi University,25.1–30.1
801–1000,National Dong Hwa University,25.1–30.1
801–1000,National Sun Yat-Sen University,25.1–30.1
801–1000,National Taipei University of Technology,25.1–30.1
1001+,Chaoyang University of Technology,10.3–25.0
1001+,Chung Yuan Christian University,10.3–25.0
1001+,Feng Chia University,10.3–25.0
1001+,I-Shou University,10.3–25.0
1001+,Ming Chuan University,10.3–25.0
1001+,National Changhua University of Education,10.3–25.0
1001+,National Chiayi University,10.3–25.0
1001+,National Chi Nan University,10.3–25.0
1001+,National Chin-Yi University of Technology,10.3–25.0
1001+,National Chung Cheng University,10.3–25.0
1001+,National Chung Hsing University,10.3–25.0
1001+,National Ilan University,10.3–25.0
1001+,National University of Kaohsiung,10.3–25.0
1001+,National Taipei University,10.3–25.0
1001+,National Taiwan Ocean University,10.3–25.0
1001+,National Yunlin University of Science and Technology,10.3–25.0
1001+,Tamkang University,10.3–25.0
1001+,Tunghai University,10.3–25.0
1001+,Tzu Chi University,10.3–25.0
1001+,Yuan Ze University,10.3–25.0
